OW001-4,霞风玉露,246,249,254
OW002-4,烟紫,241,245,254
OW003-4,淡菊,249,247,250
OW004-4,蕙心兰,247,244,247
OW073-4,含羞紫,240,237,239
OW005-4,日色微明,249,251,252
OW009-4,杏雨梨云,250,249,251
OW006-4,暮春,249,246,245
OW010-4,傲霜,249,247,244
OW007-4,烟雨和风,252,250,246
OW008-4,婷玉,252,247,243
OW011-4,韶光年华,250,247,242
OW074-4,优雅日光,249,250,245
OW075-4,静谧之纯,250,252,252
OW012-4,晴空,254,254,248
OW076-4,柔粉,249,242,229
OW015-4,冰清玉透,255,252,242
OW014-4,绮丽,250,248,240
OW016-4,草莺,252,248,237
OW013-4,容华,251,252,243
OW077-4,雅粉,246,243,235
OW022-4,银珠,255,255,248
OW021-4,珠贝色,254,255,253
OW078-4,柔珠彩,255,255,244
OW079-4,丝滑飘羽,254,254,246
OW080-4,粉象牙,255,254,242
OW081-4,清馨,251,250,235
OW018-4,露水芙蓉,251,249,237
OW082-4,云端漫步,248,248,239
OW083-4,白鸽,248,246,236
OW084-4,生机,247,246,231
OW019-4,白月皎洁,251,250,235
OW085-4,原味酸奶,254,252,233
OW020-4,芸黄,248,243,227
OW064-4,梧桐树,241,236,218
OW017-4,天朗气清,255,255,240
OW031-4,韵白,252,255,249
OW025-4,菱花白,252,255,250
OW033-4,珍珠白,253,255,252
OW086-4,漫天风雪,251,254,247
OW034-4,贝卡黄,249,252,242
OW023-4,燕黄,253,255,245
OW027-4,银装素裹,250,254,250
OW030-4,天竺葵,252,255,250
OW029-4,菊蕊白,252,255,248
OW087-4,麦芽黄,255,254,240
OW024-4,水蜜黄,255,254,237
OW088-4,白晶菊,252,255,245
OW026-4,蜜合色,253,255,248
OW039-4,柳絮白,252,255,248
OW032-4,鸭嘴黄,251,252,231
OW028-4,柠檬绸,251,253,237
OW070-4,新叶黄,249,252,237
OW035-4,萱草,248,251,237
OW040-4,松花黄,252,255,242
OW038-4,象牙白,251,255,249
OW037-4,流花白,251,255,248
OW036-4,钻石黄,250,254,246
OW065-4,迷情白,246,251,242
OW072-4,暖翠,241,244,229
OW071-4,淡黄绿,245,249,235
OW089-4,水月相融,249,255,243
OW047-4,飞花点翠,248,255,245
OW046-4,松耳石,249,255,251
OW042-4,冰晶,250,255,253
OW052-4,竹叶青,242,253,247
OW090-4,冰雪精灵,249,255,248
OW048-4,秋香绿,248,255,251
OW091-4,春的苏醒,248,254,248
OW092-4,薄荷种子,240,252,246
OW044-4,玉青,250,255,253
OW041-4,霜花白,250,255,254
OW043-4,藕荷绿,250,255,253
OW050-4,绿丝,240,251,246
OW051-4,抹茶,241,251,246
OW053-4,冰霜蓝,243,253,254
OW055-4,烟青,237,247,245
OW058-4,蟹壳青,236,253,255
OW057-4,海天蓝,237,251,254
OW060-4,雪蓝,220,233,239
OW049-4,碧落清泉,239,249,251
OW054-4,青山淡彩,238,247,247
OW045-4,海滨微风,248,254,255
OW056-4,纯净灰,238,245,245
OW059-4,浅莲灰,240,246,248
OW093-4,玉润雅静,246,252,247
OW094-4,香醇豆奶,242,245,237
OW066-4,清萍白,243,246,238
OW067-4,杏子灰,240,241,229
OW068-4,雅典白,234,235,224
OW061-4,明斯克灰,244,246,244
OW069-4,杨枝玉,247,250,244
OW062-4,浅豆沙,242,242,232
OW095-4,白桦树,235,236,230
OW063-4,沙漠雾,239,240,233
RC0107-4,思念,251,251,246
RC0251-4,荷仙姑,240,220,226
RC0260-4,莲花仙子,239,208,223
RC0270-3,醉卧花丛,215,175,199
RC0280-2,雪玫瑰,193,140,171
RC0290-2,紫绢,177,119,149
RC0001-2,海滩暮色,162,109,145
RC0002-4,柔皙,252,239,251
RC0003-4,蜜桃粉,243,223,240
RC0004-4,粉唇,241,211,233
RC0005-4,野山莓,234,190,220
RC0006-3,柔情丁香,221,168,206
RC0007-2,甜美殿堂,207,139,181
RC0008-2,贝蒂猫,188,113,157
RC0009-4,法国玫瑰,252,242,249
RC0010-4,初生,249,225,243
RC0011-4,珊瑚粉,246,211,236
RC0012-4,酸果蔓,237,188,223
RC0013-3,紫藤花园,224,165,207
RC0014-2,花语精华,213,134,184
RC0015-2,醉艳,196,108,161
RC0016-4,山樱花,253,243,248
RC0017-4,粉彩,249,226,238
RC0210-4,甜蜜公主,244,206,226
RC0018-4,小桃园,236,200,220
RC0220-3,花季,230,173,209
RC0230-2,艳若桃李,213,137,181
RC0240-2,玫瑰之约,202,113,164
RC0307-4,葡萄酒,252,251,247
RC0019-4,满架蔷薇,255,236,241
RC0020-4,精灵之歌,250,224,234
RC0310-4,羞答答,243,203,220
RC0320-3,经典粉色,234,175,203
RC0330-2,红尘往事,220,137,173
RC0340-2,倩女美唇,212,113,152
RC0021-4,梦游仙境,255,242,247
RC0022-4,香水百合,251,225,239
RC0023-4,爱的味道,248,212,230
RC0024-4,粉红佳人,242,189,216
RC0025-3,草莓甜筒,234,169,202
RC0026-2,百花香,221,135,173
RC0027-2,蔷薇花,210,112,152
RC0028-4,挚爱芳华,255,234,237
RC0029-4,诱惑,250,221,230
RC0030-4,桃花红,247,211,226
RC0031-4,春光烂漫,236,186,210
RC0032-3,红裙飞舞,224,163,192
RC0033-2,粉艳霓裳,214,134,165
RC0034-2,风韵万千,195,107,135
RC0035-4,梦里花,250,242,246
RC0036-4,香芋紫粉,250,226,242
RC0037-4,花颜悦色,248,204,226
RC0038-4,茶花女,235,183,204
RC0039-3,樱桃沙,224,163,187
RC0040-2,绚光媚影,210,131,155
RC0041-2,锦鲤,192,108,129
RC0042-4,雾中玫瑰,255,244,243
RC0043-4,天堂花语,252,224,236
RC0044-4,纯真,250,211,228
RC0045-4,春桃,245,188,212
RC0046-3,公主粉,238,166,193
RC0047-2,粉色童话,226,136,166
RC0048-2,木棉花,214,111,142
RC0207-4,雪山霞光,248,241,240
RC0201-4,大花蕙兰,250,236,234
RC0049-4,小步舞曲,247,219,226
RC0410-4,怡然蝶园,249,208,220
RC0420-3,胭脂扣,242,173,193
RC0430-2,憧憬,230,141,166
RC0440-2,洋红,221,116,143
RC0050-4,蝴蝶飞,253,246,247
RC0051-4,粉雨,254,228,236
RC0052-4,蜜桃派,253,215,227
RC0053-4,玫瑰舞,242,167,190
RC0054-3,夹竹桃,242,167,189
RC0055-2,粉装玉琢,231,134,158
RC0056-2,胭脂蝴蝶,221,113,137
RC0057-4,甜蜜之源,255,242,243
RC0058-4,小情歌,255,229,237
RC0059-4,水玉草莓,254,216,224
RC0060-4,梦幻糖果,251,190,207
RC0061-3,快乐天使,244,167,187
RC0062-2,杨桃,235,136,156
RC0063-2,娇艳欲滴,225,115,132
RC0064-4,粉颜,252,237,235
RC8151-4,睡莲红,250,217,220
RC0065-4,缪斯女神,250,208,216
RC8110-4,玫瑰粉,247,190,198
RC8120-3,石竹花,239,151,162
RC8130-2,樱桃白兰地,217,110,128
RC8140-1,精臻红,201,92,112
RC0066-4,清雅,254,247,249
RC0067-4,花样甜心,253,240,238
RC0068-4,丘比特,255,226,233
RC0510-4,荷兰石竹,251,200,211
RC0520-3,仙人翘,249,174,188
RC0530-2,甜蜜新娘,240,142,159
RC0540-2,热情西班牙,232,120,133
RC0069-4,水灵,255,239,238
RC0070-4,浪漫樱花,254,222,224
RC0071-4,柔软心情,252,206,212
RC0072-4,粉黛,246,186,195
RC0073-3,珊瑚色,236,163,172
RC0074-2,粉艳茶花,224,131,136
RC0075-2,艳芳绝代,207,111,114
RC0076-4,冰沁水粉,253,234,232
RC0077-4,蜜语,254,222,222
RC0078-4,草莓冰激凌,253,211,215
RC0079-4,婚礼祝福,250,192,198
RC0080-3,春色撩人,242,169,177
RC0081-2,粉蝶飞舞,233,138,142
RC0082-2,艳阳珊瑚,218,114,116
RC0083-4,情窦初开,255,239,233
RC0084-4,婴儿粉,255,225,225
RC0085-4,巴黎诗人,254,209,213
RC0086-4,涩樱红,250,185,192
RC0087-3,粉桃精灵,249,169,179
RC0088-2,烂漫,242,139,146
RC0089-2,艳光四射,232,120,126
RC0090-4,浪漫嫩粉,254,254,254
RC7901-4,春花红,251,239,232
RC0501-4,柔情依依,255,236,230
RC0610-4,嫣然一笑,251,197,199
RC0620-3,幻色星辰,249,169,173
RC0630-2,迷情岁月,236,142,144
RC0640-2,日出,226,118,118
RC0091-4,雪之吻,251,242,237
RC0092-4,摇摆恋曲,255,225,223
RC0093-4,迷人淡红,254,210,208
RC0094-4,倾城之恋,250,187,190
RC0095-3,印尼风情,250,171,176
RC0096-2,哈瓦那红,245,144,142
RC0097-2,蜜桃滋味,237,125,121
RC0098-4,魅惑巴黎,251,232,227
RC8051-4,高地红,251,215,214
RC0099-4,花漾年华,252,197,198
RC8010-4,艳阳天,247,189,189
RC8020-3,樱草红,240,153,157
RC8030-2,锦红菱,219,111,118
RC8040-1,珊瑚红,207,88,100
RC0401-4,出水芙蓉,251,234,232
RC0100-4,扶郎花,250,225,232
RC0651-4,菁菁校园,253,214,214
RC0660-4,红珊瑚,248,191,194
RC0670-3,海中珊瑚,233,156,162
RC0680-2,淘气红娘,222,131,134
RC0690-2,埃及红,201,107,107
RN0507-4,欢乐,253,242,242
RN0308-4,仙鹤红,250,239,238
RN0001-4,花仙子,252,224,230
RN0002-4,花开诱惑,246,210,226
RN0003-3,海棠粉,230,171,189
RN0004-3,红梅色,224,160,173
RN0490-2,姹紫嫣红,187,108,120
RN8101-4,粉茶花,251,242,243
RN8001-4,红樱桃,250,232,228
RN0408-4,孔雀红,247,225,224
RN0451-4,亲亲宝贝,243,206,212
RN0460-4,落日余辉,239,190,200
RN0470-3,红粉佳人,220,160,174
RN0480-2,如浴金香,202,132,146
RN0208-4,巴蕾舞,248,235,236
RN0407-4,烛光,250,237,240
RN0351-4,纤纤玉指,251,225,232
RN0360-4,傲霜冬梅,245,206,218
RN0370-3,雾都玫瑰,227,171,190
RN0380-2,鲤鱼吐芳,208,142,165
RN0390-2,吉庆祥和,186,116,138
RN0005-4,春樱,255,242,243
RN0006-4,恋爱之色,251,223,231
RN0007-4,绚烂粉蜜,247,207,217
RN0008-4,生如夏花,238,185,202
RN0009-3,浓情蜜桃,227,161,181
RN0010-2,落燕,211,128,145
RN0011-2,红磨坊,196,104,120
RN0012-4,夏日精灵,254,236,236
