1,作品真的很好，年底准备装修，借鉴了呢！,,225,214,0,0,1,0,03/14/2011 17:59:09
2,赞一个！很有水准的作品,,226,107,0,0,1,0,03/14/2011 18:12:01
3,大气，明亮的设计。可惜我们家房子太小了，不然也想这么装修呢,,227,207,0,0,0,0,03/14/2011 18:13:33
4,不错哒！看出主人很有心，祝福了！,,227,1,4,0,0,0,03/14/2011 18:14:22
5,灵！,,227,172,0,0,1,0,03/14/2011 18:15:52
6,很亮眼的风格，喜欢,,228,205,0,0,0,0,03/14/2011 18:19:11
7,搭车同借鉴哈,,228,214,0,0,1,0,03/14/2011 18:19:55
8,喜欢的风格,,228,204,0,0,0,0,03/14/2011 18:20:21
9,谢谢！,,214,214,0,1,0,0,03/16/2011 09:43:34
10,一直很仰幕秋大师，会永远支持你，加油,,232,107,0,0,1,0,03/16/2011 10:00:59
11,"中式古典韵味浓厚，文化气息呼之欲出，仿佛梦回唐朝",,233,183,1,0,0,0,03/16/2011 10:14:31
12,"漂亮顶",,292,296,1,0,0,0,03/18/2011 09:46:45
13,"“路漫漫其修远兮，吾将上下而求索”对中国悠久的历史地理文化和易（变）经易理的管理大道，有着浓厚的钻研乐趣设计感悟：回归到设计的本质——空间与功能性将是刻不容缓的现实。对繁琐装饰的放弃，不等于不对细节的坚持跋涉在繁复的实践过程中，以推进自己的设计梦想，做一个有一些文化厚度的设计师。
",,152,152,0,0,1,0,03/19/2011 17:27:29
14,"个人观点：上海住宅居室风格上以海派为主，以西式的线条，搭配中式的家具配饰，配合不同装饰形式形成“海纳百川，独具一体”海派风格，空间上既有欧美的宽大气派又兼具香港、东京居室功能上的实用性，无愧于国际化大都市称呼，融于其中，其乐无穷。 ",,152,152,0,0,1,0,03/19/2011 17:27:47
15," ",,152,152,0,0,1,0,03/19/2011 17:27:47
16,我也是设计师，手绘好棒，学习，怎么没上色呢？,,237,295,1,0,0,0,03/20/2011 14:06:20
17,能否帮我设计？设计费能否便宜？,,237,295,1,0,0,0,03/20/2011 14:08:57
18,壁纸哪买的？很符合空间感觉，希望能像你一样，成为一个设计师,,254,293,1,0,0,0,03/20/2011 14:11:22
19,简约风~不错,,305,142,1,0,0,0,03/22/2011 12:01:13
20,很喜欢第二张，不知道整体的效果怎么样~,,305,120,1,0,0,0,03/22/2011 12:07:04
21,灯、天花板、落地窗~喜欢,,305,284,1,0,0,0,03/22/2011 12:12:45
22,复古的天花板~,,305,114,1,0,0,0,03/22/2011 15:40:11
23,秋天大师   当之无愧,,315,107,0,0,1,0,03/22/2011 19:22:23
24,很漂亮，很喜欢~,,319,311,1,0,0,0,03/24/2011 13:33:16
25,感觉很现代啊。。。,,319,297,1,0,0,0,03/24/2011 13:35:08
26,要是有套这样的房子就好了,,320,303,1,0,0,0,03/24/2011 13:38:19
27,很奢华的感觉~~,,321,285,1,0,0,0,03/24/2011 13:40:14
28,非常现代~~~~,,321,88,1,0,0,0,03/24/2011 13:40:44
29,风格给人感觉很恩温暖~~~~~,,322,153,1,0,0,0,03/24/2011 13:42:26
30,感觉很明亮~,,322,253,1,0,0,0,03/24/2011 13:43:15
31,太美了~~~~~,,322,74,1,0,0,0,03/24/2011 13:43:38
32,奢华~~~灯光颜色像酒吧的~~,,323,305,1,0,0,0,03/24/2011 13:46:01
33,喜欢卢启杰设计师的作品.,,323,306,1,0,0,0,03/24/2011 13:47:02
34,简洁大方，真的很喜欢。就是买不起这么大的房子。,,318,220,1,0,0,0,03/24/2011 13:47:50
35,房间色调虽然很低调但缺透入出某种贵族气息,,324,249,1,0,0,0,03/24/2011 13:53:12
36,感觉此房风格更适合中老年人~~~,,324,182,1,0,0,0,03/24/2011 13:54:12
37,赞~~~漂亮啊,,324,301,1,0,0,0,03/24/2011 17:02:00
38,多谢夸奖，希望多提宝贵意见,,107,107,0,23,0,0,03/25/2011 09:11:50
39,大师称呼太高了，只是尽我所能做好本职工作而已,,107,107,0,10,0,0,03/25/2011 09:12:56
40,谢谢,,107,107,0,2,0,0,03/25/2011 09:13:16
41,观念决定行为，行为决定结果。加油~~~~~,,328,312,1,0,0,0,03/25/2011 12:51:42
42,的确不错~~~,,323,311,1,0,0,0,03/25/2011 12:59:06
43,很新颖~~,,323,137,1,0,0,0,03/25/2011 12:59:42
44,欧式风格~喜欢~,,323,244,1,0,0,0,03/25/2011 13:00:15
45,大床很给力~,,330,213,1,0,0,0,03/25/2011 13:01:41
46,有点中国风的味道,,330,311,1,0,0,0,03/25/2011 13:02:14
47,这房子好大~~~,,330,228,1,0,0,0,03/25/2011 13:03:02
48,喜欢这种风格~~~~,,330,157,1,0,0,0,03/25/2011 13:03:32
49,奢华但是不铺张，让人觉得很舒服呢,,318,307,1,0,0,0,03/25/2011 13:35:03
50,简洁明快，真喜欢啊！,,318,301,1,0,0,0,03/25/2011 13:35:55
51,不错的设计～,,294,301,1,0,0,0,03/25/2011 16:54:40
52,谢谢，一定加油··········,,327,312,1,41,0,0,03/25/2011 16:59:37
53,给力啊，支持,,332,312,1,0,0,0,03/25/2011 17:02:51
54,恩，挺整洁的，空间感也很亮丽啊！不过客厅，，我觉得它还是独特点的好~~放电视的若是黑桃框子也挺有意境的！加油啊，，看了整个还是觉得你最细心。,,333,312,1,0,0,0,03/25/2011 17:04:13
55,很奢华的设计风格,,319,298,1,0,0,0,03/28/2011 10:12:38
56,房间整体感觉很明亮~,,319,310,1,0,0,0,03/28/2011 10:13:12
57,简洁~现代的感觉~~~,,319,302,1,0,0,0,03/28/2011 10:13:40
58,立志赚钱买套这样的房,,320,309,1,0,0,0,03/28/2011 10:14:27
59,很欧式，很漂亮,,320,308,1,0,0,0,03/28/2011 10:15:01
60,色调很另类~~喜欢,,320,299,1,0,0,0,03/28/2011 10:15:28
61,喜欢这种风格~~~,,323,304,1,0,0,0,03/28/2011 10:16:22
62,没几千W家底是买不起的。。。,,323,309,1,0,0,0,03/28/2011 10:16:59
63,我也喜欢~~~~~,,323,299,1,0,0,0,03/28/2011 10:17:31
64,喜欢这种style的~~,,321,282,1,0,0,0,03/28/2011 10:18:48
65,这房子得多大啊。。。,,321,267,1,0,0,0,03/28/2011 10:19:24
66,哎~喜欢不过只有看看的份~,,322,278,1,0,0,0,03/28/2011 10:20:35
67,喜欢这个浴缸~~~~,,322,263,1,0,0,0,03/28/2011 10:21:28
68,设计的很不错，另外人长也相当漂亮啊，，，,,340,253,1,0,0,0,03/28/2011 12:02:53
69,呵呵，这里真的很好啊,,346,346,0,0,1,0,03/29/2011 15:03:41
70,我家在北方，想今年春季的时候装修，温度对装修有没有影响啊？,,323,0,3,0,0,0,03/30/2011 10:50:53
